Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
all-kbb,Chrome 125.0.0.0,,,28-05-2024 20:42:32,28-05-2024 20:50:40,8m - 7.603s,FAILED
,,,,,,,
Test Cases/KBB/check-connections,Chrome 125.0.0.0,,,28-05-2024 20:42:32,28-05-2024 20:42:48,15.892s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 20:42:32,28-05-2024 20:42:34,1.421s,PASSED
"navigateToUrl(""https://www.kbb.com/"")",Chrome 125.0.0.0,,,28-05-2024 20:42:34,28-05-2024 20:42:45,10.878s,PASSED
"scrollToPosition(0, 0)",Chrome 125.0.0.0,,,28-05-2024 20:42:45,28-05-2024 20:42:45,0.036s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Kelley Blue Book  New and Used Car Pri_e90311/div_FacebookTwitterRSSLinkedInYouTube 1995-_981592""))",Chrome 125.0.0.0,,,28-05-2024 20:42:45,28-05-2024 20:42:48,3.096s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 20:42:48,28-05-2024 20:42:48,0.270s,PASSED
,,,,,,,
Test Cases/KBB/check_button_3,Chrome 125.0.0.0,,,28-05-2024 20:42:48,28-05-2024 20:42:59,11.041s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 20:42:48,28-05-2024 20:42:49,1.011s,PASSED
"navigateToUrl(""https://www.kbb.com/"")",Chrome 125.0.0.0,,,28-05-2024 20:42:49,28-05-2024 20:42:56,7.148s,PASSED
"verifyElementText(findTestObject(""Object Repository/KBB/Page_Kelley Blue Book  New and Used Car Pri_e90311/h2_Shop Best Cars""), ""Shop Best Cars"")",Chrome 125.0.0.0,,,28-05-2024 20:42:56,28-05-2024 20:42:59,2.483s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 20:42:59,28-05-2024 20:42:59,0.247s,PASSED
,,,,,,,
Test Cases/KBB/click-about-us,Chrome 125.0.0.0,,,28-05-2024 20:42:59,28-05-2024 20:43:10,11.115s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 20:42:59,28-05-2024 20:43:00,0.794s,PASSED
"navigateToUrl(""https://www.kbb.com/"")",Chrome 125.0.0.0,,,28-05-2024 20:43:00,28-05-2024 20:43:07,6.973s,PASSED
"scrollToPosition(9999999, 9999999)",Chrome 125.0.0.0,,,28-05-2024 20:43:07,28-05-2024 20:43:07,0.032s,PASSED
"click(findTestObject(""Object Repository/Page_Kelley Blue Book  New and Used Car Pri_e90311/a_About Us""))",Chrome 125.0.0.0,,,28-05-2024 20:43:07,28-05-2024 20:43:10,3.115s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 20:43:10,28-05-2024 20:43:10,0.158s,PASSED
,,,,,,,
Test Cases/KBB/click-careers,Chrome 125.0.0.0,,,28-05-2024 20:43:10,28-05-2024 20:43:20,9.726s,PASSED
