Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Verify_Clickable_Bottom_To_Top,Chrome 125.0.0.0,,,28-05-2024 20:57:13,28-05-2024 20:57:23,9.138s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Clickable_To_Top_Button,Chrome 125.0.0.0,,,28-05-2024 20:57:14,28-05-2024 20:57:18,4.750s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 20:57:14,28-05-2024 20:57:15,1.337s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 125.0.0.0,,,28-05-2024 20:57:15,28-05-2024 20:57:18,2.739s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Copyright  CURA Healthcare Service 2024""), 0)",Chrome 125.0.0.0,,,28-05-2024 20:57:18,28-05-2024 20:57:18,0.369s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 20:57:18,28-05-2024 20:57:18,0.128s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Click_To_Top_Botton,Chrome 125.0.0.0,,,28-05-2024 20:57:18,28-05-2024 20:57:23,4.251s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 20:57:18,28-05-2024 20:57:19,0.794s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 125.0.0.0,,,28-05-2024 20:57:19,28-05-2024 20:57:22,3.012s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Copyright  CURA Healthcare Service 2024""), 0)",Chrome 125.0.0.0,,,28-05-2024 20:57:22,28-05-2024 20:57:22,0.297s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 20:57:22,28-05-2024 20:57:23,0.132s,PASSED
