Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Verify_Login_Form,Chrome 125.0.0.0,,,28-05-2024 21:01:47,28-05-2024 21:02:39,51.994s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Login_Container,Chrome 125.0.0.0,,,28-05-2024 21:01:47,28-05-2024 21:01:55,7.621s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:01:47,28-05-2024 21:01:49,1.579s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Chrome 125.0.0.0,,,28-05-2024 21:01:49,28-05-2024 21:01:53,3.842s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Username""), ""Username"")",Chrome 125.0.0.0,,,28-05-2024 21:01:53,28-05-2024 21:01:53,0.596s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""))",Chrome 125.0.0.0,,,28-05-2024 21:01:53,28-05-2024 21:01:54,0.341s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Password""), ""Password"")",Chrome 125.0.0.0,,,28-05-2024 21:01:54,28-05-2024 21:01:54,0.303s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""))",Chrome 125.0.0.0,,,28-05-2024 21:01:54,28-05-2024 21:01:54,0.316s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 125.0.0.0,,,28-05-2024 21:01:54,28-05-2024 21:01:54,0.284s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:01:54,28-05-2024 21:01:55,0.177s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Demo_Account_Container,Chrome 125.0.0.0,,,28-05-2024 21:01:55,28-05-2024 21:02:00,5.298s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:01:55,28-05-2024 21:01:56,0.881s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Chrome 125.0.0.0,,,28-05-2024 21:01:56,28-05-2024 21:01:59,2.931s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/div_Demo account""))",Chrome 125.0.0.0,,,28-05-2024 21:01:59,28-05-2024 21:01:59,0.320s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Demo account""), ""Demo account"")",Chrome 125.0.0.0,,,28-05-2024 21:01:59,28-05-2024 21:01:59,0.304s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Demo account_form-control""))",Chrome 125.0.0.0,,,28-05-2024 21:01:59,28-05-2024 21:01:59,0.292s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Demo account_form-control_1""))",Chrome 125.0.0.0,,,28-05-2024 21:01:59,28-05-2024 21:02:00,0.301s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:02:00,28-05-2024 21:02:00,0.156s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Login_Empty_Pass,Chrome 125.0.0.0,,,28-05-2024 21:02:00,28-05-2024 21:02:06,5.908s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:02:00,28-05-2024 21:02:01,0.963s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Chrome 125.0.0.0,,,28-05-2024 21:02:01,28-05-2024 21:02:04,2.915s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 125.0.0.0,,,28-05-2024 21:02:04,28-05-2024 21:02:04,0.601s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 125.0.0.0,,,28-05-2024 21:02:04,28-05-2024 21:02:05,0.900s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), ""Login failed! Please ensure the username and password are valid."")",Chrome 125.0.0.0,,,28-05-2024 21:02:05,28-05-2024 21:02:06,0.318s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:02:06,28-05-2024 21:02:06,0.138s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Login_Empty_User_Pass,Chrome 125.0.0.0,,,28-05-2024 21:02:06,28-05-2024 21:02:12,5.984s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:02:06,28-05-2024 21:02:07,1.138s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Chrome 125.0.0.0,,,28-05-2024 21:02:07,28-05-2024 21:02:10,3.096s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 125.0.0.0,,,28-05-2024 21:02:10,28-05-2024 21:02:11,0.944s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), ""Login failed! Please ensure the username and password are valid."")",Chrome 125.0.0.0,,,28-05-2024 21:02:11,28-05-2024 21:02:12,0.504s,PASSED
