Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Verify_Footer,Chrome 125.0.0.0,,,28-05-2024 21:07:41,28-05-2024 21:08:34,53.763s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Footer_Copyright,Chrome 125.0.0.0,,,28-05-2024 21:07:41,28-05-2024 21:07:49,7.988s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:07:41,28-05-2024 21:07:45,3.377s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 125.0.0.0,,,28-05-2024 21:07:45,28-05-2024 21:07:48,3.379s,PASSED
"verifyElementPresent(findTestObject(""Page_CURA Healthcare Service/p_Copyright  CURA Healthcare Service 2024""), 0)",Chrome 125.0.0.0,,,28-05-2024 21:07:48,28-05-2024 21:07:49,0.541s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:07:49,28-05-2024 21:07:49,0.190s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Footer_Email,Chrome 125.0.0.0,,,28-05-2024 21:07:49,28-05-2024 21:07:54,5.068s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:07:49,28-05-2024 21:07:51,1.534s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 125.0.0.0,,,28-05-2024 21:07:51,28-05-2024 21:07:54,2.978s,PASSED
"verifyElementPresent(findTestObject(""Page_CURA Healthcare Service/a_infokatalon.com""), 0)",Chrome 125.0.0.0,,,28-05-2024 21:07:54,28-05-2024 21:07:54,0.279s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:07:54,28-05-2024 21:07:54,0.188s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Phone_Number,Chrome 125.0.0.0,,,28-05-2024 21:07:54,28-05-2024 21:08:30,35.748s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:07:54,28-05-2024 21:07:55,0.805s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 125.0.0.0,,,28-05-2024 21:07:55,28-05-2024 21:07:58,3.175s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/li_(678) 813-1KMS""), ""(678) 813-1KMS"")",Chrome 125.0.0.0,,,28-05-2024 21:07:58,28-05-2024 21:08:30,31.524s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:08:30,28-05-2024 21:08:30,0.151s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Address,Chrome 125.0.0.0,,,28-05-2024 21:08:30,28-05-2024 21:08:34,4.520s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:08:30,28-05-2024 21:08:31,0.778s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 125.0.0.0,,,28-05-2024 21:08:31,28-05-2024 21:08:32,1.196s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Atlanta 550 Pharr Road NE Suite 525Atlant_8f4c85""))",Chrome 125.0.0.0,,,28-05-2024 21:08:32,28-05-2024 21:08:34,2.369s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:08:34,28-05-2024 21:08:34,0.120s,PASSED
