Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Verify_Social_Icon,Chrome 125.0.0.0,,,28-05-2024 21:07:35,28-05-2024 21:07:56,21.166s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Dribbble_Ico,Chrome 125.0.0.0,,,28-05-2024 21:07:36,28-05-2024 21:07:45,9.549s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:07:36,28-05-2024 21:07:40,4.255s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 125.0.0.0,,,28-05-2024 21:07:40,28-05-2024 21:07:42,1.209s,PASSED
"verifyElementPresent(findTestObject(""Page_CURA Healthcare Service/i_infokatalon.com_fa fa-dribbble fa-fw fa-3x""), 0)",Chrome 125.0.0.0,,,28-05-2024 21:07:42,28-05-2024 21:07:44,2.411s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:07:44,28-05-2024 21:07:45,1.060s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Facebook_Ico,Chrome 125.0.0.0,,,28-05-2024 21:07:45,28-05-2024 21:07:51,5.480s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:07:45,28-05-2024 21:07:47,1.675s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 125.0.0.0,,,28-05-2024 21:07:47,28-05-2024 21:07:50,3.005s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_infokatalon.com_fa fa-facebook fa-fw fa-3x""), 0)",Chrome 125.0.0.0,,,28-05-2024 21:07:50,28-05-2024 21:07:50,0.452s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:07:50,28-05-2024 21:07:51,0.221s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Twitter_Ico,Chrome 125.0.0.0,,,28-05-2024 21:07:51,28-05-2024 21:07:56,5.446s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:07:51,28-05-2024 21:07:52,1.278s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 125.0.0.0,,,28-05-2024 21:07:52,28-05-2024 21:07:56,3.642s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_infokatalon.com_fa fa-facebook fa-fw fa-3x""), 0)",Chrome 125.0.0.0,,,28-05-2024 21:07:56,28-05-2024 21:07:56,0.317s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:07:56,28-05-2024 21:07:56,0.180s,PASSED
