Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ddv-suites,Chrome 125.0.0.0,,,28-05-2024 21:07:59,28-05-2024 21:10:43,2m - 44.099s,FAILED
,,,,,,,
Test Cases/DDV/check-categories,Chrome 125.0.0.0,,,28-05-2024 21:08:22,28-05-2024 21:08:29,7.146s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:08:22,28-05-2024 21:08:23,1.052s,PASSED
"navigateToUrl(""https://didongviet.vn/"")",Chrome 125.0.0.0,,,28-05-2024 21:08:23,28-05-2024 21:08:28,4.286s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/DDV/Page_Didongviet.vn - in thoi, Tablet, ng h,_4e2c42/div_Galaxy S24 UltraiPhone 15 Pro MaxiPad G_4b7227""))",Chrome 125.0.0.0,,,28-05-2024 21:08:28,28-05-2024 21:08:29,1.786s,FAILED
,,,,,,,
Test Cases/DDV/check-hotline,Chrome 125.0.0.0,,,28-05-2024 21:08:50,28-05-2024 21:08:57,6.781s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:08:50,28-05-2024 21:08:51,0.837s,PASSED
"navigateToUrl(""https://didongviet.vn/"")",Chrome 125.0.0.0,,,28-05-2024 21:08:51,28-05-2024 21:08:56,4.779s,PASSED
"verifyElementText(findTestObject(""Object Repository/DDV/Page_Didongviet.vn - in thoi, Tablet, ng h,_4e2c42/p_1800.6018""), ""1800.6018"")",Chrome 125.0.0.0,,,28-05-2024 21:08:56,28-05-2024 21:08:57,1.153s,FAILED
,,,,,,,
Test Cases/DDV/check-left-menu,Chrome 125.0.0.0,,,28-05-2024 21:08:57,28-05-2024 21:09:04,7.199s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:08:57,28-05-2024 21:08:58,0.824s,PASSED
"navigateToUrl(""https://didongviet.vn/"")",Chrome 125.0.0.0,,,28-05-2024 21:08:58,28-05-2024 21:09:03,5.409s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/DDV/Page_Didongviet.vn - in thoi, Tablet, ng h,_4e2c42/div_in thoiApple (AAR)Laptop  TabletMy c gi_2921c4""))",Chrome 125.0.0.0,,,28-05-2024 21:09:03,28-05-2024 21:09:04,0.748s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:09:04,28-05-2024 21:09:04,0.168s,PASSED
,,,,,,,
Test Cases/DDV/check-logo-available,Chrome 125.0.0.0,,,28-05-2024 21:09:28,28-05-2024 21:09:36,7.897s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:09:28,28-05-2024 21:09:29,0.920s,PASSED
"navigateToUrl(""https://didongviet.vn/"")",Chrome 125.0.0.0,,,28-05-2024 21:09:29,28-05-2024 21:09:34,5.166s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/DDV/Page_Didongviet.vn - in thoi, Tablet, ng h,_4e2c42/img""))",Chrome 125.0.0.0,,,28-05-2024 21:09:34,28-05-2024 21:09:36,1.798s,FAILED
,,,,,,,
Test Cases/DDV/check-main-banner,Chrome 125.0.0.0,,,28-05-2024 21:09:36,28-05-2024 21:09:43,7.022s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:09:36,28-05-2024 21:09:36,0.900s,PASSED
"navigateToUrl(""https://didongviet.vn/"")",Chrome 125.0.0.0,,,28-05-2024 21:09:36,28-05-2024 21:09:41,4.477s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/DDV/Page_Didongviet.vn - in thoi, Tablet, ng h,_4e2c42/div_in thoiApple (AAR)Laptop  TabletMy c gi_2921c4""))",Chrome 125.0.0.0,,,28-05-2024 21:09:41,28-05-2024 21:09:42,1.460s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:09:42,28-05-2024 21:09:43,0.170s,PASSED
,,,,,,,
Test Cases/DDV/check-others-show-room,Chrome 125.0.0.0,,,28-05-2024 21:09:43,28-05-2024 21:09:50,7.135s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:09:43,28-05-2024 21:09:43,0.665s,PASSED
"navigateToUrl(""https://didongviet.vn/"")",Chrome 125.0.0.0,,,28-05-2024 21:09:43,28-05-2024 21:09:48,4.448s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/DDV/Page_Didongviet.vn - in thoi, Tablet, ng h,_4e2c42/div_Oppo  Xiaomi  realme  HONOR Chnh HngOPP_34c939""))",Chrome 125.0.0.0,,,28-05-2024 21:09:48,28-05-2024 21:09:49,1.519s,PASSED
"verifyElementText(findTestObject(""Object Repository/DDV/Page_Didongviet.vn - in thoi, Tablet, ng h,_4e2c42/a_Oppo  Xiaomi  realme  HONOR Chnh Hng""), ""Oppo | Xiaomi | realme | HONOR Chính Hãng"")",Chrome 125.0.0.0,,,28-05-2024 21:09:49,28-05-2024 21:09:49,0.286s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:09:49,28-05-2024 21:09:50,0.169s,PASSED
,,,,,,,
Test Cases/DDV/check-page-can-connect,Chrome 125.0.0.0,,,28-05-2024 21:09:50,28-05-2024 21:09:57,7.381s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:09:50,28-05-2024 21:09:50,0.672s,PASSED
"navigateToUrl(""https://didongviet.vn/"")",Chrome 125.0.0.0,,,28-05-2024 21:09:50,28-05-2024 21:09:56,5.190s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/DDV/Page_Didongviet.vn - in thoi, Tablet, ng h,_4e2c42/div_iPhone 15 Pro MaxGalaxy S24 UltraXiaomi_875374""))",Chrome 125.0.0.0,,,28-05-2024 21:09:56,28-05-2024 21:09:57,1.309s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:09:57,28-05-2024 21:09:57,0.168s,PASSED
,,,,,,,
Test Cases/DDV/check-right-side-bar,Chrome 125.0.0.0,,,28-05-2024 21:09:57,28-05-2024 21:10:05,7.722s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:09:57,28-05-2024 21:09:58,0.859s,PASSED
"navigateToUrl(""https://didongviet.vn/"")",Chrome 125.0.0.0,,,28-05-2024 21:09:58,28-05-2024 21:10:03,5.361s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/DDV/Page_Didongviet.vn - in thoi, Tablet, ng h,_4e2c42/div_ng k_flex h-full flex-col justify-betwe_6cc556""))",Chrome 125.0.0.0,,,28-05-2024 21:10:03,28-05-2024 21:10:05,1.293s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:10:05,28-05-2024 21:10:05,0.167s,PASSED
,,,,,,,
Test Cases/DDV/check-samsung,Chrome 125.0.0.0,,,28-05-2024 21:10:05,28-05-2024 21:10:12,7.445s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:10:05,28-05-2024 21:10:06,0.694s,PASSED
"navigateToUrl(""https://didongviet.vn/"")",Chrome 125.0.0.0,,,28-05-2024 21:10:06,28-05-2024 21:10:11,5.035s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/DDV/Page_Didongviet.vn - in thoi, Tablet, ng h,_4e2c42/div_Samsung Chnh HngGalaxy Z Flip5Galaxy Z _6d232a""))",Chrome 125.0.0.0,,,28-05-2024 21:10:11,28-05-2024 21:10:11,0.789s,PASSED
"verifyElementText(findTestObject(""Object Repository/DDV/Page_Didongviet.vn - in thoi, Tablet, ng h,_4e2c42/a_Samsung Chnh Hng""), ""Samsung Chính Hãng"")",Chrome 125.0.0.0,,,28-05-2024 21:10:11,28-05-2024 21:10:12,0.664s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:10:12,28-05-2024 21:10:12,0.201s,PASSED
,,,,,,,
Test Cases/DDV/check-show-room,Chrome 125.0.0.0,,,28-05-2024 21:10:12,28-05-2024 21:10:43,30.538s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:10:12,28-05-2024 21:10:13,0.886s,PASSED
"navigateToUrl(""https://didongviet.vn/"")",Chrome 125.0.0.0,,,28-05-2024 21:10:13,28-05-2024 21:10:28,15.270s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/DDV/Page_Didongviet.vn - in thoi, Tablet, ng h,_4e2c42/div_iPhone VNA Chnh ThngiPhone 15 SeriesiPh_f6f959""), 0)",Chrome 125.0.0.0,,,28-05-2024 21:10:28,28-05-2024 21:10:29,0.873s,PASSED
"verifyElementText(findTestObject(""Object Repository/DDV/Page_Didongviet.vn - in thoi, Tablet, ng h,_4e2c42/a_iPhone VNA Chnh Thng""), ""iPhone VN/A Chính Thống"")",Chrome 125.0.0.0,,,28-05-2024 21:10:29,28-05-2024 21:10:31,1.170s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:10:31,28-05-2024 21:10:43,12.217s,PASSED
