Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Verify_Body,Chrome 125.0.0.0,,,28-05-2024 21:32:18,28-05-2024 21:44:00,11m - 42.647s,FAILED
,,,,,,,
Test Cases/FPT-TC03-Verify-Customer-Stories,Chrome 125.0.0.0,,,28-05-2024 21:36:20,28-05-2024 21:37:25,1m - 5.045s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:36:20,28-05-2024 21:36:21,0.833s,PASSED
"navigateToUrl(""https://fptsoftware.com/"")",Chrome 125.0.0.0,,,28-05-2024 21:36:21,28-05-2024 21:36:52,31.197s,PASSED
"verifyElementText(findTestObject(""Object Repository/FPT/Page_FPT Software  Leading in Digital trans_9e9e5c/h3_CUSTOMER STORIES""), ""CUSTOMER STORIES"")",Chrome 125.0.0.0,,,28-05-2024 21:36:52,28-05-2024 21:37:25,32.999s,FAILED
,,,,,,,
Test Cases/FPT-TC04-Verify-Our-Mission,Chrome 125.0.0.0,,,28-05-2024 21:42:18,28-05-2024 21:44:00,1m - 42.547s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:42:18,28-05-2024 21:42:19,0.862s,PASSED
"navigateToUrl(""https://fptsoftware.com/"")",Chrome 125.0.0.0,,,28-05-2024 21:42:19,28-05-2024 21:42:52,33.466s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/FPT/Page_FPT Software  Leading in Digital trans_9e9e5c/div_WE ARE                              a c_6fe479""))",Chrome 125.0.0.0,,,28-05-2024 21:42:52,28-05-2024 21:43:24,31.436s,PASSED
"verifyElementText(findTestObject(""Object Repository/FPT/Page_FPT Software  Leading in Digital trans_9e9e5c/div_WE ARE""), ""WE ARE"")",Chrome 125.0.0.0,,,28-05-2024 21:43:24,28-05-2024 21:44:00,36.768s,FAILED
