Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
open lazada,Chrome 125.0.0.0,,,29-05-2024 20:31:30,29-05-2024 20:32:43,1m - 13.032s,PASSED
,,,,,,,
Test Cases/Lazada/New Test Case - Copy (1),Chrome 125.0.0.0,,,29-05-2024 20:31:30,29-05-2024 20:31:55,24.510s,PASSED
"openBrowser(""https://www.lazada.vn/#?"")",Chrome 125.0.0.0,,,29-05-2024 20:31:30,29-05-2024 20:31:55,24.351s,PASSED
,,,,,,,
Test Cases/Lazada/New Test Case,Chrome 125.0.0.0,,,29-05-2024 20:31:55,29-05-2024 20:32:20,25.237s,PASSED
"openBrowser(""https://www.lazada.vn/#?"")",Chrome 125.0.0.0,,,29-05-2024 20:31:55,29-05-2024 20:32:20,25.213s,PASSED
,,,,,,,
Test Cases/Lazada/New Test Case - Copy,Chrome 125.0.0.0,,,29-05-2024 20:32:20,29-05-2024 20:32:43,23.153s,PASSED
"openBrowser(""https://www.lazada.vn/#?"")",Chrome 125.0.0.0,,,29-05-2024 20:32:20,29-05-2024 20:32:43,23.137s,PASSED
