Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Verify_Header_Footer,Chrome 125.0.0.0,,,29-05-2024 20:39:16,29-05-2024 20:43:47,4m - 31.262s,FAILED
,,,,,,,
Test Cases/FPT-TC01-Verify-Header,Chrome 125.0.0.0,,,29-05-2024 20:40:14,29-05-2024 20:40:32,18.013s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,29-05-2024 20:40:14,29-05-2024 20:40:15,0.853s,PASSED
"navigateToUrl(""https://fptsoftware.com/"")",Chrome 125.0.0.0,,,29-05-2024 20:40:15,29-05-2024 20:40:26,11.524s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/FPT/Page_FPT Software  Leading in Digital trans_9e9e5c/img_Singapore (English)_img-logo""))",Chrome 125.0.0.0,,,29-05-2024 20:40:26,29-05-2024 20:40:32,5.621s,FAILED
,,,,,,,
Test Cases/FPT-TC02-Verify-ContactUS,Chrome 125.0.0.0,,,29-05-2024 20:42:59,29-05-2024 20:43:47,48.883s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,29-05-2024 20:42:59,29-05-2024 20:43:00,0.931s,PASSED
"navigateToUrl(""https://fptsoftware.com/"")",Chrome 125.0.0.0,,,29-05-2024 20:43:00,29-05-2024 20:43:11,11.819s,PASSED
"scrollToElement(findTestObject(""FPT/Page_FPT Software  Leading in Digital trans_9e9e5c/div_About Us                Careers        _647cf1""), 0)",Chrome 125.0.0.0,,,29-05-2024 20:43:11,29-05-2024 20:43:47,36.121s,FAILED
