Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Verify_Appointment_Form,Chrome 125.0.0.0,,,29-05-2024 22:18:37,29-05-2024 22:19:41,1m - 4.441s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Appointment_Form,Chrome 125.0.0.0,,,29-05-2024 22:18:37,29-05-2024 22:18:50,12.654s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,29-05-2024 22:18:37,29-05-2024 22:18:39,2.117s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Chrome 125.0.0.0,,,29-05-2024 22:18:39,29-05-2024 22:18:42,3.014s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 125.0.0.0,,,29-05-2024 22:18:42,29-05-2024 22:18:43,1.103s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 125.0.0.0,,,29-05-2024 22:18:43,29-05-2024 22:18:44,0.716s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 125.0.0.0,,,29-05-2024 22:18:44,29-05-2024 22:18:45,1.233s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/div_Make Appointment                       _4e05d4""))",Chrome 125.0.0.0,,,29-05-2024 22:18:45,29-05-2024 22:18:46,0.522s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Make Appointment""), ""Make Appointment"")",Chrome 125.0.0.0,,,29-05-2024 22:18:46,29-05-2024 22:18:46,0.357s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""))",Chrome 125.0.0.0,,,29-05-2024 22:18:46,29-05-2024 22:18:47,0.408s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/div_Medicare                               _cb3988""))",Chrome 125.0.0.0,,,29-05-2024 22:18:47,29-05-2024 22:18:47,0.440s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Chrome 125.0.0.0,,,29-05-2024 22:18:47,29-05-2024 22:18:48,0.454s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""))",Chrome 125.0.0.0,,,29-05-2024 22:18:48,29-05-2024 22:18:48,0.475s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 125.0.0.0,,,29-05-2024 22:18:48,29-05-2024 22:18:48,0.443s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,29-05-2024 22:18:48,29-05-2024 22:18:50,1.095s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Appointment_Form_Dropdownlist,Chrome 125.0.0.0,,,29-05-2024 22:18:50,29-05-2024 22:18:58,8.382s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,29-05-2024 22:18:50,29-05-2024 22:18:51,1.166s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Chrome 125.0.0.0,,,29-05-2024 22:18:51,29-05-2024 22:18:52,1.239s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 125.0.0.0,,,29-05-2024 22:18:52,29-05-2024 22:18:55,2.434s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 125.0.0.0,,,29-05-2024 22:18:55,29-05-2024 22:18:55,0.417s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), Keys.chord(ENTER))",Chrome 125.0.0.0,,,29-05-2024 22:18:55,29-05-2024 22:18:56,0.990s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Seoul CURA Healthcare Center"", true)",Chrome 125.0.0.0,,,29-05-2024 22:18:56,29-05-2024 22:18:57,1.049s,PASSED
"verifyOptionPresentByValue(findTestObject(""Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Seoul CURA Healthcare Center"", false, 0)",Chrome 125.0.0.0,,,29-05-2024 22:18:57,29-05-2024 22:18:58,0.704s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,29-05-2024 22:18:58,29-05-2024 22:18:58,0.189s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Appointment_Form_Medical_Program_DateInput,Chrome 125.0.0.0,,,29-05-2024 22:18:58,29-05-2024 22:19:06,7.910s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,29-05-2024 22:18:58,29-05-2024 22:18:59,1.289s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Chrome 125.0.0.0,,,29-05-2024 22:18:59,29-05-2024 22:19:02,3.118s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 125.0.0.0,,,29-05-2024 22:19:02,29-05-2024 22:19:03,0.804s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 125.0.0.0,,,29-05-2024 22:19:03,29-05-2024 22:19:04,0.428s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), Keys.chord(ENTER))",Chrome 125.0.0.0,,,29-05-2024 22:19:04,29-05-2024 22:19:05,0.924s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/span_Visit Date (Required)_glyphicon glyphi_cada34""))",Chrome 125.0.0.0,,,29-05-2024 22:19:05,29-05-2024 22:19:05,0.552s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/div_May 2024SuMoTuWeThFrSa28293012345678910_5bf531""))",Chrome 125.0.0.0,,,29-05-2024 22:19:05,29-05-2024 22:19:06,0.514s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,29-05-2024 22:19:06,29-05-2024 22:19:06,0.155s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Appointment_Form_Medical_Program_Medicaid_Check,Chrome 125.0.0.0,,,29-05-2024 22:19:06,29-05-2024 22:19:12,6.560s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,29-05-2024 22:19:06,29-05-2024 22:19:07,0.816s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Chrome 125.0.0.0,,,29-05-2024 22:19:07,29-05-2024 22:19:09,2.765s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 125.0.0.0,,,29-05-2024 22:19:09,29-05-2024 22:19:10,0.663s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 125.0.0.0,,,29-05-2024 22:19:10,29-05-2024 22:19:11,0.360s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), Keys.chord(ENTER))",Chrome 125.0.0.0,,,29-05-2024 22:19:11,29-05-2024 22:19:11,0.930s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Medicaid_programs""))",Chrome 125.0.0.0,,,29-05-2024 22:19:11,29-05-2024 22:19:12,0.537s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Medicaid_programs""), 0)",Chrome 125.0.0.0,,,29-05-2024 22:19:12,29-05-2024 22:19:12,0.276s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,29-05-2024 22:19:12,29-05-2024 22:19:12,0.159s,PASSED
