Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
open shopee,Chrome 125.0.0.0,,,01-06-2024 20:49:45,01-06-2024 20:51:43,1m - 58.154s,PASSED
,,,,,,,
Test Cases/Shopee/S_1,Chrome 125.0.0.0,,,01-06-2024 20:49:45,01-06-2024 20:49:50,4.684s,PASSED
"openBrowser(""https://shopee.vn/"")",Chrome 125.0.0.0,,,01-06-2024 20:49:45,01-06-2024 20:49:50,4.233s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,01-06-2024 20:49:50,01-06-2024 20:49:50,0.290s,PASSED
,,,,,,,
Test Cases/Shopee/S_10,Chrome 125.0.0.0,,,01-06-2024 20:49:50,01-06-2024 20:49:54,4.012s,PASSED
"openBrowser(""https://shopee.vn/"")",Chrome 125.0.0.0,,,01-06-2024 20:49:50,01-06-2024 20:49:54,3.711s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,01-06-2024 20:49:54,01-06-2024 20:49:54,0.285s,PASSED
,,,,,,,
Test Cases/Shopee/S_11,Chrome 125.0.0.0,,,01-06-2024 20:49:54,01-06-2024 20:49:58,3.975s,PASSED
"openBrowser(""https://shopee.vn/"")",Chrome 125.0.0.0,,,01-06-2024 20:49:54,01-06-2024 20:49:58,3.678s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,01-06-2024 20:49:58,01-06-2024 20:49:58,0.287s,PASSED
,,,,,,,
Test Cases/Shopee/S_12,Chrome 125.0.0.0,,,01-06-2024 20:49:58,01-06-2024 20:50:02,3.734s,PASSED
"openBrowser(""https://shopee.vn/"")",Chrome 125.0.0.0,,,01-06-2024 20:49:58,01-06-2024 20:50:01,3.458s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,01-06-2024 20:50:01,01-06-2024 20:50:02,0.275s,PASSED
,,,,,,,
Test Cases/Shopee/S_13,Chrome 125.0.0.0,,,01-06-2024 20:50:02,01-06-2024 20:50:06,4.366s,PASSED
"openBrowser(""https://shopee.vn/"")",Chrome 125.0.0.0,,,01-06-2024 20:50:02,01-06-2024 20:50:06,4.085s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,01-06-2024 20:50:06,01-06-2024 20:50:06,0.272s,PASSED
,,,,,,,
Test Cases/Shopee/S_14,Chrome 125.0.0.0,,,01-06-2024 20:50:06,01-06-2024 20:50:10,3.824s,PASSED
"openBrowser(""https://shopee.vn/"")",Chrome 125.0.0.0,,,01-06-2024 20:50:06,01-06-2024 20:50:10,3.537s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,01-06-2024 20:50:10,01-06-2024 20:50:10,0.284s,PASSED
,,,,,,,
Test Cases/Shopee/S_15,Chrome 125.0.0.0,,,01-06-2024 20:50:10,01-06-2024 20:50:13,3.570s,PASSED
"openBrowser(""https://shopee.vn/"")",Chrome 125.0.0.0,,,01-06-2024 20:50:10,01-06-2024 20:50:13,3.283s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,01-06-2024 20:50:13,01-06-2024 20:50:13,0.272s,PASSED
,,,,,,,
Test Cases/Shopee/S_16,Chrome 125.0.0.0,,,01-06-2024 20:50:13,01-06-2024 20:50:17,3.917s,PASSED
"openBrowser(""https://shopee.vn/"")",Chrome 125.0.0.0,,,01-06-2024 20:50:13,01-06-2024 20:50:17,3.612s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,01-06-2024 20:50:17,01-06-2024 20:50:17,0.295s,PASSED
,,,,,,,
Test Cases/Shopee/S_17,Chrome 125.0.0.0,,,01-06-2024 20:50:17,01-06-2024 20:50:21,3.713s,PASSED
"openBrowser(""https://shopee.vn/"")",Chrome 125.0.0.0,,,01-06-2024 20:50:17,01-06-2024 20:50:21,3.409s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,01-06-2024 20:50:21,01-06-2024 20:50:21,0.282s,PASSED
,,,,,,,
Test Cases/Shopee/S_18,Chrome 125.0.0.0,,,01-06-2024 20:50:21,01-06-2024 20:50:25,3.729s,PASSED
